epoch,acc,loss,val_acc,val_loss
0,0.0833333358168602,3.47295880317688,0.19499999284744263,3.042693853378296
1,0.169736847281456,2.972994565963745,0.2794736921787262,2.740818500518799
2,0.23087719082832336,2.7242987155914307,0.33605262637138367,2.554906129837036
3,0.2698245644569397,2.5617740154266357,0.3771052658557892,2.4235665798187256
4,0.30052632093429565,2.4512438774108887,0.3836842179298401,2.327401638031006
5,0.3263157904148102,2.3422904014587402,0.4081578850746155,2.250135898590088
6,0.3423684239387512,2.2759947776794434,0.4186842143535614,2.1879374980926514
7,0.35938596725463867,2.2105026245117188,0.4268420934677124,2.130995273590088
8,0.3855263292789459,2.1483054161071777,0.4300000071525574,2.0896732807159424
9,0.3918420970439911,2.1157376766204834,0.4447368383407593,2.044339418411255
10,0.40473684668540955,2.0585618019104004,0.45447367429733276,2.010432720184326
11,0.41236841678619385,2.0231642723083496,0.45921051502227783,1.9807173013687134
12,0.4248245656490326,1.990371584892273,0.4542105197906494,1.950947880744934
13,0.43070176243782043,1.9611507654190063,0.46368420124053955,1.9268789291381836
14,0.43833333253860474,1.9315844774246216,0.4755263030529022,1.9016259908676147
15,0.44271931052207947,1.9125956296920776,0.48289474844932556,1.8787391185760498
16,0.45289474725723267,1.8852852582931519,0.4813157916069031,1.8589202165603638
17,0.45298245549201965,1.8658790588378906,0.48394736647605896,1.8419166803359985
18,0.46210527420043945,1.8420804738998413,0.49000000953674316,1.8243212699890137
19,0.46719297766685486,1.8253135681152344,0.4902631640434265,1.8082165718078613
